Rule,Support,Confidence,Lift,Item1,Item2,Item3,Consequent
rule0,0.050,0.576,1.497,toilet paper, juice, aluminum foil,yogurt
rule1243,0.099,0.579,1.490,spaghetti sauce, poultry,,dinner rolls
rule37,0.052,0.578,1.487,eggs, pasta, soda,dinner rolls
rule525,0.078,0.560,1.486,shampoo, spaghetti sauce,,juice
rule14,0.050,0.576,1.484,poultry, laundry detergent, mixes,dishwashing liquid/detergent
rule26,0.051,0.552,1.480,dinner rolls, poultry, cereals,spaghetti sauce
rule17,0.051,0.569,1.479,yogurt, poultry, mixes,aluminum foil
rule39,0.052,0.546,1.471,eggs, dinner rolls, soda,pasta
rule909,0.083,0.514,1.470,cheeses, ketchup,,sandwich loaves
rule10,0.050,0.582,1.469,yogurt, cheeses, coffee/tea,cereals
rule38,0.052,0.573,1.469,dinner rolls, pasta, soda,eggs
rule5,0.050,0.564,1.468,yogurt, poultry, juice,aluminum foil
rule1090,0.086,0.547,1.467,dinner rolls, juice,,spaghetti sauce
rule16,0.051,0.563,1.464,poultry, mixes, aluminum foil,yogurt
rule1088,0.086,0.551,1.462,spaghetti sauce, aluminum foil,,juice
rule217,0.073,0.542,1.461,sandwich loaves, milk,,ketchup
rule33,0.052,0.567,1.459,eggs, poultry, soda,dinner rolls
rule1106,0.087,0.547,1.452,yogurt, shampoo,,juice
rule32,0.052,0.567,1.452,eggs, dinner rolls, poultry,soda
rule36,0.052,0.567,1.452,eggs, dinner rolls, pasta,soda
rule691,0.080,0.542,1.452,mixes, juice,,spaghetti sauce
rule289,0.075,0.538,1.449,hand soap, soda,,pasta
rule171,0.072,0.506,1.449,flour, individual meals,,sandwich loaves
rule1242,0.096,0.545,1.447,poultry, aluminum foil,,juice
rule1121,0.087,0.563,1.446,poultry, hand soap,,dinner rolls
rule1120,0.087,0.544,1.444,toilet paper, aluminum foil,,juice
rule1151,0.088,0.524,1.444,ice cream, pasta,,paper towels
rule615,0.079,0.536,1.443,mixes, juice,,ketchup
rule601,0.079,0.542,1.443,shampoo, dishwashing liquid/detergent,,mixes
rule571,0.079,0.523,1.443,all- purpose, cereals,,paper towels
rule1180,0.089,0.523,1.443,eggs, pasta,,paper towels
rule438,0.077,0.530,1.441,laundry detergent, tortillas,,sandwich bags
rule201,0.073,0.522,1.440,all- purpose, individual meals,,paper towels
rule446,0.077,0.533,1.439,all- purpose, beef,,fruits
rule1179,0.089,0.534,1.439,paper towels, eggs,,pasta
rule468,0.077,0.540,1.437,dishwashing liquid/detergent, hand soap,,mixes
rule30,0.051,0.569,1.436,poultry, milk, laundry detergent,cereals
rule1113,0.087,0.559,1.435,beef, soda,,eggs
rule1043,0.085,0.539,1.434,aluminum foil, ketchup,,mixes
rule938,0.083,0.556,1.432,mixes, soda,,dishwashing liquid/detergent
rule474,0.077,0.543,1.432,sandwich loaves, toilet paper,,soap
rule908,0.083,0.531,1.430,cheeses, sandwich loaves,,ketchup
rule46,0.052,0.602,1.429,dinner rolls, spaghetti sauce, juice,poultry
rule1144,0.088,0.515,1.428,poultry, beef,,sugar
rule53,0.054,0.540,1.427,dinner rolls, spaghetti sauce, poultry,laundry detergent
rule15,0.050,0.600,1.424,dishwashing liquid/detergent, laundry detergent, mixes,poultry
rule934,0.083,0.540,1.423,all- purpose, ketchup,,soap
rule1133,0.088,0.556,1.422,cereals, sandwich bags,,cheeses
rule915,0.083,0.528,1.422,coffee/tea, juice,,ketchup
rule1168,0.089,0.534,1.422,cereals, aluminum foil,,mixes
rule1099,0.086,0.516,1.422,eggs, ice cream,,paper towels
rule1201,0.090,0.528,1.422,dinner rolls, soda,,pasta
rule796,0.082,0.525,1.422,mixes, sandwich bags,,tortillas
rule1236,0.095,0.554,1.421,dinner rolls, soda,,eggs
rule2,0.050,0.538,1.421,yogurt, juice, aluminum foil,toilet paper
rule1093,0.086,0.554,1.420,paper towels, dinner rolls,,eggs
rule879,0.083,0.531,1.417,spaghetti sauce, fruits,,beef
rule1002,0.084,0.500,1.417,cheeses, soda,,flour
rule63,0.066,0.500,1.417,dishwashing liquid/detergent, sandwich loaves,,flour
rule193,0.073,0.553,1.416,sandwich bags, sugar,,soda
rule836,0.082,0.525,1.415,paper towels, dinner rolls,,pasta
rule1223,0.091,0.525,1.414,eggs, dinner rolls,,pasta
rule272,0.075,0.521,1.414,dinner rolls, pork,,shampoo
rule1227,0.092,0.553,1.414,eggs, soap,,soda
rule559,0.079,0.536,1.412,spaghetti sauce, sandwich bags,,soap
rule416,0.076,0.512,1.411,pasta, toilet paper,,paper towels
rule465,0.077,0.512,1.411,shampoo, eggs,,paper towels
rule808,0.082,0.528,1.410,laundry detergent, soap,,all- purpose
rule1240,0.096,0.542,1.410,poultry, juice,,aluminum foil
rule733,0.081,0.551,1.410,shampoo, sandwich bags,,cheeses
rule880,0.083,0.522,1.410,spaghetti sauce, beef,,fruits
rule466,0.077,0.524,1.410,mixes, soap,,ketchup
rule324,0.076,0.531,1.409,shampoo, pork,,juice
rule1056,0.085,0.511,1.408,ice cream, juice,,paper towels
rule841,0.082,0.525,1.408,laundry detergent, juice,,spaghetti sauce
rule727,0.081,0.529,1.407,dishwashing liquid/detergent, pork,,mixes
rule1159,0.089,0.510,1.407,ice cream, lunch meat,,paper towels
rule457,0.077,0.527,1.406,fruits, milk,,beef
rule1231,0.093,0.541,1.406,juice, aluminum foil,,yogurt
rule315,0.075,0.509,1.404,pasta, individual meals,,paper towels
rule307,0.075,0.531,1.404,milk, sugar,,toilet paper
rule853,0.082,0.528,1.403,spaghetti sauce, ketchup,,juice
rule828,0.082,0.520,1.402,dishwashing liquid/detergent, beef,,fruits
rule208,0.073,0.525,1.401,fruits, toilet paper,,beef
rule492,0.078,0.520,1.401,pork, sandwich bags,,ketchup
rule1006,0.084,0.545,1.399,butter, soda,,eggs
rule498,0.078,0.514,1.398,milk, tortillas,,sandwich bags
rule1078,0.086,0.544,1.397,yogurt, dishwashing liquid/detergent,,eggs
rule309,0.075,0.538,1.396,fruits, toilet paper,,bagels
rule565,0.079,0.529,1.396,all- purpose, soda,,soap
rule568,0.079,0.529,1.396,spaghetti sauce, all- purpose,,soap
rule1234,0.095,0.545,1.396,eggs, dinner rolls,,soda
rule521,0.078,0.543,1.395,eggs, hand soap,,dinner rolls
rule353,0.076,0.518,1.395,sandwich loaves, coffee/tea,,ketchup
rule13,0.050,0.528,1.395,dishwashing liquid/detergent, poultry, mixes,laundry detergent
rule1022,0.084,0.530,1.395,paper towels, dishwashing liquid/detergent,,milk
rule950,0.083,0.525,1.394,shampoo, aluminum foil,,juice
rule668,0.080,0.514,1.394,beef, juice,,shampoo
rule364,0.076,0.537,1.393,spaghetti sauce, pork,,bagels
rule349,0.076,0.544,1.393,fruits, toilet paper,,cheeses
rule1233,0.093,0.525,1.393,yogurt, aluminum foil,,juice
rule608,0.079,0.517,1.393,shampoo, coffee/tea,,ketchup
rule1010,0.084,0.522,1.392,fruits, cereals,,beef
rule699,0.080,0.517,1.392,paper towels, soap,,ketchup
rule94,0.069,0.523,1.392,spaghetti sauce, flour,,mixes
rule31,0.051,0.586,1.390,milk, laundry detergent, cereals,poultry
rule19,0.051,0.586,1.390,yogurt, mixes, aluminum foil,poultry
rule223,0.073,0.535,1.389,fruits, juice,,bagels
rule456,0.077,0.521,1.389,fruits, soap,,beef
rule220,0.073,0.522,1.389,paper towels, sandwich loaves,,individual meals
rule732,0.081,0.511,1.389,shampoo, cheeses,,sandwich bags
rule475,0.077,0.527,1.389,sandwich loaves, waffles,,soap
rule919,0.083,0.534,1.388,yogurt, ice cream,,aluminum foil
rule230,0.074,0.515,1.388,milk, pork,,ketchup
rule205,0.073,0.516,1.388,sandwich loaves, soda,,ketchup
rule1150,0.088,0.515,1.388,paper towels, ice cream,,pasta
rule347,0.076,0.585,1.388,sandwich loaves, laundry detergent,,poultry
rule273,0.075,0.515,1.387,pork, soap,,ketchup
rule448,0.077,0.503,1.387,all- purpose, toilet paper,,paper towels
rule262,0.074,0.503,1.387,fruits, milk,,paper towels
rule677,0.080,0.503,1.387,shampoo, aluminum foil,,paper towels
rule1163,0.089,0.526,1.387,ice cream, soda,,soap
rule434,0.077,0.533,1.387,sandwich loaves, juice,,yogurt
rule285,0.075,0.541,1.386,fruits, flour,,cheeses
rule1178,0.089,0.540,1.386,paper towels, pasta,,eggs
rule47,0.052,0.522,1.386,dinner rolls, spaghetti sauce, poultry,juice
rule395,0.076,0.521,1.386,butter, tortillas,,mixes
rule975,0.083,0.503,1.386,ice cream, cereals,,paper towels
rule672,0.080,0.500,1.386,beef, soap,,sugar
rule1221,0.091,0.539,1.385,eggs, pasta,,dinner rolls
rule850,0.082,0.538,1.385,eggs, fruits,,dishwashing liquid/detergent
rule539,0.078,0.514,1.385,milk, coffee/tea,,ketchup
rule355,0.076,0.521,1.384,sandwich loaves, bagels,,juice
rule799,0.082,0.514,1.384,sandwich bags, soap,,ketchup
rule82,0.068,0.520,1.384,dishwashing liquid/detergent, sandwich loaves,,mixes
rule931,0.083,0.516,1.384,lunch meat, juice,,spaghetti sauce
rule228,0.074,0.519,1.383,shampoo, pork,,beef
rule907,0.083,0.540,1.383,sandwich loaves, ketchup,,cheeses
rule1123,0.087,0.538,1.383,poultry, pasta,,dinner rolls
rule365,0.076,0.509,1.383,mixes, soda,,sandwich bags
rule303,0.075,0.525,1.383,individual meals, ketchup,,soap
rule155,0.071,0.516,1.383,hand soap, juice,,spaghetti sauce
rule722,0.081,0.532,1.383,milk, coffee/tea,,yogurt
rule128,0.071,0.540,1.382,sandwich bags, sugar,,cheeses
rule491,0.078,0.509,1.382,pork, ketchup,,sandwich bags
rule786,0.082,0.531,1.382,milk, juice,,yogurt
rule1036,0.085,0.536,1.381,eggs, lunch meat,,dishwashing liquid/detergent
rule1046,0.085,0.536,1.381,milk, mixes,,dishwashing liquid/detergent
rule669,0.080,0.520,1.381,shampoo, beef,,juice
rule609,0.079,0.523,1.380,shampoo, ketchup,,coffee/tea
rule670,0.080,0.517,1.379,sugar, soap,,beef
rule690,0.080,0.535,1.379,fruits, mixes,,dishwashing liquid/detergent
rule253,0.074,0.535,1.379,mixes, sugar,,dishwashing liquid/detergent
rule344,0.076,0.518,1.379,bagels, soap,,individual meals
rule902,0.083,0.519,1.379,spaghetti sauce, ice cream,,juice
rule371,0.076,0.524,1.379,eggs, sandwich bags,,milk
rule1026,0.084,0.500,1.379,eggs, milk,,paper towels
rule703,0.080,0.500,1.379,ice cream, toilet paper,,paper towels
rule415,0.076,0.500,1.379,individual meals, toilet paper,,paper towels
rule698,0.080,0.523,1.379,paper towels, ketchup,,soap
rule232,0.074,0.538,1.378,flour, sandwich bags,,cheeses
rule984,0.084,0.519,1.378,yogurt, toilet paper,,juice
rule275,0.075,0.521,1.378,all- purpose, sandwich bags,,laundry detergent
rule259,0.074,0.519,1.377,sandwich loaves, toilet paper,,juice
rule697,0.080,0.511,1.377,juice, soap,,ketchup
rule180,0.072,0.516,1.376,sandwich loaves, fruits,,beef
rule339,0.076,0.538,1.376,shampoo, fruits,,cheeses
rule887,0.083,0.534,1.376,waffles, mixes,,dishwashing liquid/detergent
rule243,0.074,0.522,1.376,sandwich loaves, soda,,soap
rule161,0.072,0.529,1.376,fruits, juice,,yogurt
rule1068,0.085,0.536,1.375,paper towels, dishwashing liquid/detergent,,eggs
rule935,0.083,0.511,1.375,all- purpose, soap,,ketchup
rule1015,0.084,0.511,1.375,dishwashing liquid/detergent, dinner rolls,,pasta
rule1053,0.085,0.511,1.375,eggs, ice cream,,pasta
rule278,0.075,0.506,1.375,fruits, ketchup,,sandwich bags
rule369,0.076,0.506,1.375,paper towels, cheeses,,sandwich bags
rule297,0.075,0.535,1.374,shampoo, spaghetti sauce,,dinner rolls
rule1188,0.090,0.537,1.374,eggs, ice cream,,soda
rule445,0.077,0.515,1.373,fruits, all- purpose,,beef
rule1200,0.090,0.534,1.372,pasta, soda,,dinner rolls
rule781,0.082,0.514,1.371,yogurt, laundry detergent,,all- purpose
rule1232,0.093,0.527,1.371,yogurt, juice,,aluminum foil
rule1075,0.086,0.536,1.371,yogurt, coffee/tea,,cheeses
rule861,0.083,0.516,1.371,yogurt, spaghetti sauce,,juice
rule1205,0.090,0.515,1.371,poultry, aluminum foil,,mixes
rule649,0.080,0.506,1.371,beef, lunch meat,,shampoo
rule606,0.079,0.506,1.371,cereals, juice,,shampoo
rule417,0.076,0.509,1.370,cheeses, juice,,ketchup
rule389,0.076,0.509,1.370,flour, mixes,,ketchup
rule418,0.076,0.521,1.370,dishwashing liquid/detergent, spaghetti sauce,,milk
rule388,0.076,0.515,1.370,flour, ketchup,,mixes
rule1104,0.087,0.527,1.369,yogurt, mixes,,aluminum foil
rule1083,0.086,0.513,1.369,poultry, fruits,,beef
rule730,0.081,0.535,1.369,sandwich bags, aluminum foil,,cheeses
rule233,0.074,0.535,1.369,sandwich loaves, sandwich bags,,cheeses
rule770,0.081,0.508,1.369,coffee/tea, soap,,ketchup
rule506,0.078,0.514,1.369,dishwashing liquid/detergent, flour,,mixes
rule911,0.083,0.511,1.369,bagels, milk,,spaghetti sauce
rule747,0.081,0.514,1.368,bagels, soda,,individual meals
rule444,0.077,0.518,1.368,all- purpose, soda,,laundry detergent
rule688,0.080,0.514,1.368,dishwashing liquid/detergent, ketchup,,mixes
rule1245,0.099,0.577,1.368,dinner rolls, spaghetti sauce,,poultry
rule81,0.068,0.503,1.368,butter, pork,,sandwich bags
rule863,0.083,0.534,1.367,bagels, sandwich bags,,cheeses
rule871,0.083,0.540,1.367,individual meals, coffee/tea,,lunch meat
rule829,0.082,0.514,1.367,dishwashing liquid/detergent, aluminum foil,,mixes
rule882,0.083,0.514,1.367,milk, aluminum foil,,mixes
rule322,0.076,0.503,1.367,cheeses, pork,,sandwich bags
rule372,0.076,0.503,1.367,dishwashing liquid/detergent, tortillas,,sandwich bags
rule794,0.082,0.503,1.367,tortillas, mixes,,sandwich bags
rule241,0.074,0.519,1.367,sandwich loaves, all- purpose,,soap
rule295,0.075,0.512,1.366,fruits, sugar,,beef
rule181,0.072,0.506,1.366,sandwich loaves, beef,,fruits
rule80,0.068,0.513,1.366,dishwashing liquid/detergent, sandwich loaves,,individual meals
rule524,0.078,0.514,1.366,shampoo, individual meals,,juice
rule442,0.077,0.540,1.366,waffles, milk,,lunch meat
rule1132,0.088,0.503,1.366,cheeses, cereals,,sandwich bags
rule856,0.083,0.525,1.366,eggs, aluminum foil,,yogurt
rule1004,0.084,0.533,1.365,flour, soda,,cheeses
rule588,0.079,0.506,1.365,bagels, beef,,fruits
rule686,0.080,0.514,1.365,shampoo, waffles,,juice
rule93,0.069,0.503,1.365,flour, juice,,shampoo
rule101,0.069,0.503,1.365,hand soap, juice,,shampoo
rule138,0.071,0.513,1.364,paper towels, flour,,mixes
rule595,0.079,0.503,1.364,dinner rolls, juice,,shampoo
rule523,0.078,0.503,1.364,individual meals, juice,,shampoo
rule140,0.071,0.503,1.364,sandwich loaves, soda,,shampoo
rule619,0.079,0.517,1.364,sandwich loaves, ketchup,,soap
rule1244,0.099,0.509,1.364,dinner rolls, poultry,,spaghetti sauce
rule265,0.074,0.509,1.364,sandwich loaves, juice,,spaghetti sauce
rule1189,0.090,0.531,1.363,ice cream, soda,,eggs
rule1085,0.086,0.505,1.363,poultry, beef,,fruits
rule203,0.073,0.512,1.363,flour, tortillas,,mixes
rule763,0.081,0.503,1.363,cheeses, laundry detergent,,shampoo
rule439,0.077,0.506,1.362,coffee/tea, sandwich bags,,ketchup
rule1112,0.087,0.532,1.362,eggs, beef,,soda
rule852,0.082,0.508,1.362,juice, ketchup,,spaghetti sauce
rule948,0.083,0.531,1.361,soda, juice,,eggs
rule489,0.078,0.511,1.361,yogurt, sandwich loaves,,individual meals
rule1162,0.089,0.532,1.361,ice cream, soap,,soda
rule1204,0.090,0.536,1.361,ice cream, soda,,waffles
rule351,0.076,0.528,1.360,waffles, milk,,dishwashing liquid/detergent
rule1040,0.085,0.530,1.360,paper towels, soda,,eggs
rule616,0.079,0.573,1.360,mixes, sugar,,poultry
rule4,0.050,0.523,1.360,poultry, juice, aluminum foil,yogurt
rule399,0.076,0.527,1.359,beef, mixes,,dishwashing liquid/detergent
rule991,0.084,0.527,1.359,lunch meat, soda,,dishwashing liquid/detergent
rule924,0.083,0.537,1.359,shampoo, waffles,,lunch meat
rule957,0.083,0.511,1.359,dishwashing liquid/detergent, laundry detergent,,mixes
rule637,0.080,0.500,1.359,cheeses, beef,,sandwich bags
rule357,0.076,0.500,1.359,yogurt, tortillas,,sandwich bags
rule791,0.082,0.522,1.359,coffee/tea, juice,,yogurt
rule65,0.066,0.510,1.358,sandwich loaves, laundry detergent,,individual meals
rule490,0.078,0.511,1.358,yogurt, ketchup,,juice
rule1005,0.084,0.530,1.358,eggs, butter,,soda
rule657,0.080,0.535,1.358,all- purpose, soda,,waffles
rule583,0.079,0.503,1.357,waffles, beef,,fruits
rule844,0.082,0.541,1.357,paper towels, cheeses,,ice cream
rule85,0.068,0.510,1.357,sandwich loaves, milk,,individual meals
rule981,0.084,0.522,1.357,soda, aluminum foil,,yogurt
rule1191,0.090,0.528,1.356,pasta, soda,,eggs
rule137,0.071,0.500,1.356,flour, toilet paper,,shampoo
rule738,0.081,0.500,1.356,lunch meat, juice,,shampoo
rule676,0.080,0.500,1.356,paper towels, aluminum foil,,shampoo
rule671,0.080,0.514,1.356,beef, sugar,,soap
rule846,0.082,0.534,1.356,dishwashing liquid/detergent, toilet paper,,waffles
rule1029,0.085,0.522,1.356,poultry, sandwich loaves,,yogurt
rule933,0.083,0.508,1.355,soap, ketchup,,all- purpose
rule912,0.083,0.522,1.355,spaghetti sauce, milk,,bagels
rule173,0.072,0.509,1.355,sandwich loaves, soda,,individual meals
rule170,0.072,0.509,1.355,sandwich loaves, flour,,individual meals
rule797,0.082,0.514,1.355,waffles, sandwich bags,,soap
rule585,0.079,0.506,1.355,bagels, beef,,spaghetti sauce
rule917,0.083,0.514,1.354,juice, ketchup,,coffee/tea
rule1222,0.091,0.528,1.354,dinner rolls, pasta,,eggs
rule1218,0.091,0.528,1.354,poultry, soda,,eggs
rule1228,0.092,0.528,1.354,soda, soap,,eggs
rule403,0.076,0.509,1.354,sandwich loaves, aluminum foil,,individual meals
rule681,0.080,0.503,1.354,dinner rolls, coffee/tea,,ketchup
rule196,0.073,0.503,1.354,toilet paper, sandwich bags,,ketchup
rule643,0.080,0.503,1.354,waffles, sandwich bags,,ketchup
rule748,0.081,0.503,1.354,paper towels, soda,,pasta
rule214,0.073,0.503,1.354,spaghetti sauce, hand soap,,pasta
rule667,0.080,0.529,1.354,eggs, sugar,,soda
rule428,0.077,0.521,1.354,flour, pasta,,yogurt
rule432,0.077,0.521,1.354,mixes, coffee/tea,,yogurt
rule517,0.078,0.520,1.353,cheeses, juice,,aluminum foil
rule741,0.081,0.508,1.353,eggs, lunch meat,,individual meals
rule110,0.070,0.510,1.353,toilet paper, pork,,juice
rule805,0.082,0.534,1.353,individual meals, toilet paper,,lunch meat
rule495,0.078,0.509,1.353,dishwashing liquid/detergent, sandwich bags,,mixes
rule1190,0.090,0.528,1.353,eggs, pasta,,soda
rule396,0.076,0.500,1.353,butter, mixes,,tortillas
rule300,0.075,0.500,1.353,toilet paper, mixes,,tortillas
rule548,0.079,0.520,1.353,all- purpose, milk,,yogurt
rule752,0.081,0.520,1.352,laundry detergent, juice,,aluminum foil
rule354,0.076,0.521,1.352,sandwich loaves, juice,,bagels
rule848,0.082,0.514,1.352,paper towels, poultry,,milk
rule795,0.082,0.508,1.352,tortillas, sandwich bags,,mixes
rule501,0.078,0.533,1.352,sandwich loaves, lunch meat,,waffles
rule881,0.083,0.519,1.351,milk, mixes,,aluminum foil
rule69,0.067,0.521,1.351,fruits, pork,,bagels
rule119,0.070,0.506,1.351,hand soap, ketchup,,beef
rule424,0.077,0.509,1.351,yogurt, pork,,juice
rule764,0.081,0.511,1.351,shampoo, cheeses,,laundry detergent
rule928,0.083,0.534,1.351,waffles, individual meals,,lunch meat
rule204,0.073,0.512,1.351,flour, toilet paper,,soap
rule618,0.079,0.533,1.351,fruits, soap,,waffles
rule1080,0.086,0.533,1.351,lunch meat, juice,,waffles
rule857,0.083,0.519,1.351,coffee/tea, aluminum foil,,yogurt
rule784,0.082,0.520,1.351,dinner rolls, juice,,yogurt
rule560,0.079,0.500,1.350,beef, lunch meat,,fruits
rule1012,0.084,0.500,1.350,beef, cereals,,fruits
rule749,0.081,0.500,1.350,ice cream, beef,,fruits
rule555,0.079,0.500,1.350,yogurt, dishwashing liquid/detergent,,fruits
rule775,0.081,0.538,1.350,paper towels, fruits,,ice cream
rule759,0.081,0.508,1.350,coffee/tea, aluminum foil,,juice
rule611,0.079,0.508,1.350,paper towels, shampoo,,juice
rule685,0.080,0.508,1.350,shampoo, toilet paper,,juice
rule113,0.070,0.533,1.350,dishwashing liquid/detergent, sandwich loaves,,lunch meat
rule1003,0.084,0.527,1.350,cheeses, flour,,soda
rule569,0.079,0.506,1.349,waffles, laundry detergent,,all- purpose
rule427,0.077,0.506,1.349,yogurt, ketchup,,all- purpose
rule271,0.075,0.525,1.349,shampoo, pork,,dinner rolls
rule1152,0.088,0.524,1.349,eggs, bagels,,dishwashing liquid/detergent
rule792,0.082,0.508,1.349,yogurt, coffee/tea,,juice
rule500,0.078,0.533,1.349,sandwich loaves, waffles,,lunch meat
rule154,0.071,0.513,1.349,hand soap, toilet paper,,milk
rule1127,0.087,0.513,1.349,laundry detergent, cereals,,milk
rule1237,0.095,0.507,1.349,dishwashing liquid/detergent, poultry,,mixes
rule79,0.068,0.503,1.349,sandwich loaves, milk,,spaghetti sauce
rule1058,0.085,0.511,1.349,waffles, juice,,toilet paper
rule508,0.078,0.527,1.348,flour, ketchup,,cheeses
rule1158,0.089,0.537,1.348,paper towels, lunch meat,,ice cream
rule108,0.069,0.506,1.348,sandwich loaves, sugar,,individual meals
rule563,0.079,0.533,1.348,individual meals, sugar,,lunch meat
rule1197,0.090,0.513,1.348,poultry, laundry detergent,,milk
rule640,0.080,0.511,1.348,ice cream, sandwich bags,,soap
rule745,0.081,0.511,1.348,soda, ketchup,,soap
rule535,0.078,0.503,1.348,cheeses, sandwich loaves,,spaghetti sauce
rule336,0.076,0.503,1.348,dinner rolls, toilet paper,,spaghetti sauce
rule186,0.072,0.503,1.348,hand soap, waffles,,spaghetti sauce
rule267,0.075,0.518,1.348,flour, sugar,,yogurt
rule400,0.076,0.518,1.347,mixes, juice,,aluminum foil
rule904,0.083,0.511,1.347,waffles, ketchup,,coffee/tea
rule402,0.076,0.537,1.347,aluminum foil, sugar,,ice cream
rule964,0.083,0.511,1.347,poultry, sandwich loaves,,soap
rule896,0.083,0.511,1.347,waffles, ketchup,,soap
rule854,0.082,0.503,1.347,bagels, juice,,spaghetti sauce
rule582,0.079,0.503,1.347,soda, juice,,spaghetti sauce
rule318,0.076,0.518,1.347,eggs, sandwich bags,,yogurt
rule359,0.076,0.518,1.347,mixes, juice,,yogurt
rule458,0.077,0.518,1.346,toilet paper, mixes,,aluminum foil
rule765,0.081,0.526,1.346,shampoo, laundry detergent,,cheeses
rule520,0.078,0.524,1.346,laundry detergent, sugar,,dinner rolls
rule620,0.079,0.500,1.346,sandwich loaves, soap,,ketchup
rule366,0.076,0.506,1.346,sandwich bags, aluminum foil,,mixes
rule486,0.078,0.517,1.346,sandwich bags, aluminum foil,,yogurt
rule1192,0.090,0.523,1.345,shampoo, poultry,,dinner rolls
rule91,0.069,0.523,1.345,spaghetti sauce, flour,,dinner rolls
rule977,0.083,0.522,1.345,bagels, waffles,,dishwashing liquid/detergent
rule958,0.083,0.522,1.345,laundry detergent, mixes,,dishwashing liquid/detergent
rule1054,0.085,0.536,1.345,paper towels, juice,,ice cream
rule705,0.080,0.506,1.345,ice cream, sandwich loaves,,individual meals
rule397,0.076,0.509,1.345,butter, spaghetti sauce,,laundry detergent
rule536,0.078,0.511,1.345,dishwashing liquid/detergent, juice,,milk
rule258,0.074,0.509,1.345,sandwich loaves, juice,,toilet paper
rule758,0.081,0.517,1.344,coffee/tea, juice,,aluminum foil
rule1023,0.084,0.522,1.344,paper towels, milk,,dishwashing liquid/detergent
rule1238,0.095,0.522,1.344,poultry, mixes,,dishwashing liquid/detergent
rule567,0.079,0.508,1.344,dinner rolls, all- purpose,,laundry detergent
rule967,0.083,0.511,1.344,dishwashing liquid/detergent, laundry detergent,,milk
rule472,0.077,0.518,1.343,individual meals, mixes,,bagels
rule920,0.083,0.525,1.343,waffles, sandwich bags,,cheeses
rule183,0.072,0.522,1.343,mixes, sugar,,dinner rolls
rule330,0.076,0.521,1.343,flour, waffles,,dishwashing liquid/detergent
rule1154,0.088,0.524,1.343,dishwashing liquid/detergent, bagels,,eggs
rule435,0.077,0.506,1.343,yogurt, sandwich loaves,,juice
rule1042,0.085,0.516,1.342,mixes, ketchup,,aluminum foil
rule955,0.083,0.522,1.342,spaghetti sauce, pasta,,dinner rolls
rule1149,0.088,0.535,1.342,paper towels, pasta,,ice cream
rule757,0.081,0.505,1.342,paper towels, aluminum foil,,juice
